event_id,measurement_id,particle_id,layer_id,surface_id,x,y,z,r,phi,sigma_phi,sigma_z,is_noise
0,1,1,1,101,9.950042,0.998334,1.0,10.0,0.100000,0.001,0.10,False
0,2,1,2,102,19.900083,1.996668,2.0,20.0,0.100000,0.001,0.10,False
0,3,1,3,103,29.850125,2.995002,3.0,30.0,0.100000,0.001,0.10,False
0,4,1,4,104,39.800167,3.993337,4.0,40.0,0.100000,0.001,0.10,False
0,5,1,5,105,49.750208,4.991671,5.0,50.0,0.100000,0.001,0.10,False
0,6,1,6,106,59.700250,5.990005,6.0,60.0,0.100000,0.001,0.10,False
0,7,2,1,201,9.800666,-1.986693,-1.0,10.0,-0.200000,0.001,0.10,False
0,8,2,2,202,19.601332,-3.973387,-2.0,20.0,-0.200000,0.001,0.10,False
0,9,2,3,203,29.401997,-5.960080,-3.0,30.0,-0.200000,0.001,0.10,False
0,10,2,4,204,39.202663,-7.946773,-4.0,40.0,-0.200000,0.001,0.10,False
0,11,2,5,205,49.003329,-9.933467,-5.0,50.0,-0.200000,0.001,0.10,False
0,12,2,6,206,58.803995,-11.920160,-6.0,60.0,-0.200000,0.001,0.10,False
0,13,,3,999,25.000000,16.583124,0.0,30.0,0.585686,0.001,0.10,True
1,14,3,1,301,9.210610,3.894183,1.5,10.0,0.400000,0.001,0.10,False
1,15,3,2,302,18.421219,7.788367,3.0,20.0,0.400000,0.001,0.10,False
1,16,3,3,303,27.631829,11.682550,4.5,30.0,0.400000,0.001,0.10,False
1,17,3,4,304,36.842439,15.576733,6.0,40.0,0.400000,0.001,0.10,False
1,18,3,5,305,46.053049,19.470917,7.5,50.0,0.400000,0.001,0.10,False
1,19,3,6,306,55.263659,23.365100,9.0,60.0,0.400000,0.001,0.10,False
