n_particles,noise_hits_per_layer,hit_efficiency,events_processed,truth_particles_generated,measurements_mean,seeds_mean,reconstructed_tracks_mean,tracking_efficiency_mean,fake_rate_mean,duplicate_rate_mean,mean_hits_per_track,mean_holes_per_track,mean_chi2_ndof,covariance_valid_rate_mean,momentum_residual_mean,momentum_residual_std,runtime_total_s,runtime_per_event_s
1,0,1.0,50,50,6.0,20.0,0.98,0.98,0.0,0.0,6.0,0.0,0.9243664894174997,1.0,-0.002881830135087257,0.0511543296589289,20.05508090008516,0.4011016180017032
1,0,0.95,50,50,5.72,17.44,0.92,0.92,0.0,0.0,5.826086956521739,0.17391304347826086,0.9790671605031644,1.0,-0.005076527391158676,0.05409476150264545,17.749726900015958,0.35499453800031916
1,1,1.0,50,50,12.0,160.0,0.98,0.98,0.0,0.0,6.0,0.0,0.9243664894174997,1.0,-0.002881830135087257,0.0511543296589289,20.024455899954773,0.4004891179990955
1,1,0.95,50,50,11.72,149.28,0.92,0.92,0.0,0.0,5.826086956521739,0.17391304347826086,0.9790671605031644,1.0,-0.005076527391158676,0.05409476150264545,18.138292499934323,0.36276584999868644
2,0,1.0,50,100,12.0,160.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0705377536621925,1.0,0.003292079320927167,0.05887193133075966,39.46532269997988,0.7893064539995975
2,0,0.95,50,100,11.48,140.4,1.9,0.95,0.0,0.0,5.8061224489795915,0.19387755102040816,1.048124365243586,1.0,-0.0019469150131296482,0.06260619194346362,36.72311829996761,0.7344623659993522
2,1,1.0,50,100,18.0,540.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0705377536621925,1.0,0.003292079320927167,0.05887193133075966,40.79098639998119,0.8158197279996239
2,1,0.95,50,100,17.48,495.04,1.9,0.95,0.0,0.0,5.8061224489795915,0.19387755102040816,1.048124365243586,1.0,-0.0019469150131296482,0.06260619194346362,38.00287009996828,0.7600574019993656
5,0,1.0,50,250,30.0,2500.0,4.96,0.992,0.0,0.0,5.996,0.004,1.0206033722333685,1.0,0.0041566655181346866,0.05998572041181594,108.78861269995105,2.1757722539990207
5,0,0.95,50,250,28.62,2166.54,4.86,0.972,0.0,0.0,5.75,0.25,0.9823782296451501,1.0,-0.0018923490124423251,0.06052775903503571,109.55517740000505,2.191103548000101
5,1,1.0,50,250,36.0,4320.0,4.96,0.992,0.0,0.0,5.996,0.004,1.0206033722333685,1.0,0.0041566655181346866,0.05998572041181594,120.19434699998237,2.4038869399996474
5,1,0.95,50,250,34.62,3837.06,4.86,0.972,0.0,0.0,5.75,0.25,0.9823782296451501,1.0,-0.0018923490124423251,0.06052775903503571,113.86594849999528,2.2773189699999055
