hit_efficiency,dead_layer_scenario,dead_layers,n_dead_layers,n_events,n_particles,noise_hits_per_layer,min_hits,events_processed,truth_particles_generated,measurements_mean,seeds_mean,reconstructed_tracks_mean,tracking_efficiency_mean,fake_rate_mean,duplicate_rate_mean,mean_hits_per_track,mean_holes_per_track,mean_chi2_ndof,covariance_valid_rate_mean,momentum_residual_mean,momentum_residual_std
1.0,none,none,0,10,5,0,4,10,50,30.0,2500.0,4.8,0.96,0.0,0.0,5.98,0.02,1.194948017348402,1.0,-0.0077282328533784216,0.06517533630955775
1.0,dead_2,2,1,10,5,0,4,10,50,25.0,1250.0,4.3,0.86,0.0,0.0,4.8966666666666665,1.1033333333333333,0.9397335636436228,1.0,0.005384663706135129,0.08024307918577438
1.0,dead_1_4,"1,4",2,10,5,0,4,10,50,20.0,500.0,4.7,0.9400000000000001,0.0,0.0,4.0,2.0,0.9225745242112453,1.0,-0.004254969409272448,0.07874591713733675
0.95,none,none,0,10,5,0,4,10,50,28.8,2213.8,4.7,0.9400000000000001,0.0,0.0,5.725,0.275,1.019931859850757,1.0,-0.002246767426499119,0.07633822346859004
0.95,dead_2,2,1,10,5,0,4,10,50,23.5,1038.4,4.6,0.92,0.0,0.0,4.785,1.215,0.9340949966162788,1.0,0.006437818693941387,0.09748816491067301
0.95,dead_1_4,"1,4",2,10,5,0,4,10,50,18.6,400.8,3.6,0.72,0.0,0.0,4.0,2.0,0.7876887104279308,1.0,0.009056745098861054,0.0867688942960284
0.9,none,none,0,10,5,0,4,10,50,27.0,1830.6,4.8,0.96,0.0,0.0,5.405,0.595,0.9209340791215086,1.0,0.016524287709934013,0.06413420237854212
0.9,dead_2,2,1,10,5,0,4,10,50,23.1,981.5,4.3,0.86,0.0,0.0,4.783333333333333,1.2166666666666666,1.1529217459372858,1.0,0.009682190657526209,0.07162812847465311
0.9,dead_1_4,"1,4",2,10,5,0,4,10,50,18.4,388.8,3.0,0.6,0.0,0.0,4.0,2.0,1.0701730371930303,1.0,-0.005904464766029189,0.045375912300933526
0.8,none,none,0,10,5,0,4,10,50,25.1,1464.5,4.3,0.86,0.0,0.0,5.17,0.83,0.8974958457452044,1.0,0.011264400956370806,0.08314273508403013
0.8,dead_2,2,1,10,5,0,4,10,50,20.0,654.0,3.3,0.66,0.0,0.0,4.401666666666666,1.5983333333333334,1.021940456873565,1.0,0.04578071345455827,0.1190323199394706
0.8,dead_1_4,"1,4",2,10,5,0,4,10,50,15.9,247.8,1.9,0.38,0.0,0.0,4.0,2.0,0.9842471497608413,1.0,-0.03203431217206701,0.06607729416306629
