n_particles,noise_hits_per_layer,hit_efficiency,events_processed,truth_particles_generated,measurements_mean,seeds_mean,reconstructed_tracks_mean,tracking_efficiency_mean,fake_rate_mean,duplicate_rate_mean,mean_hits_per_track,mean_holes_per_track,mean_chi2_ndof,covariance_valid_rate_mean,momentum_residual_mean,momentum_residual_std,runtime_total_s,runtime_per_event_s
1,0,1.0,50,50,6.0,1.0,0.96,0.96,0.0,0.0,6.0,0.0,1.0362884515763575,1.0,-0.005758497314670739,0.05685781327325937,19.783059800043702,0.395661196000874
1,0,0.95,50,50,5.54,0.8,0.64,0.64,0.0,0.0,6.0,0.0,1.0607808009256452,1.0,-0.009403345784102972,0.055984532930421764,13.251857199938968,0.26503714399877937
1,1,1.0,50,50,12.0,8.0,0.96,0.96,0.0,0.0,6.0,0.0,1.0362884515763575,1.0,-0.005758497314670739,0.05685781327325937,19.05344129994046,0.3810688259988092
1,1,0.95,50,50,11.54,7.16,0.64,0.64,0.0,0.0,6.0,0.0,1.0607808009256452,1.0,-0.009403345784102972,0.055984532930421764,12.505751600023359,0.2501150320004672
2,0,1.0,50,100,12.0,8.0,1.98,0.99,0.0,0.0,6.0,0.0,0.9775890044647266,1.0,0.004954745111226043,0.06303912470585996,41.51998199999798,0.8303996399999596
2,0,0.95,50,100,11.26,6.92,1.34,0.67,0.0,0.0,6.0,0.0,1.0444738876558022,1.0,0.009867030979578502,0.062217780750482066,28.83256460004486,0.5766512920008973
2,1,1.0,50,100,18.0,27.0,1.98,0.99,0.0,0.0,6.0,0.0,0.9775890044647266,1.0,0.004954745111226043,0.06303912470585996,43.22981210006401,0.8645962420012802
2,1,0.95,50,100,17.26,24.54,1.34,0.67,0.0,0.0,6.0,0.0,1.0444738876558022,1.0,0.009867030979578502,0.062217780750482066,29.524866099935025,0.5904973219987005
5,0,1.0,50,250,30.0,125.0,4.8,0.96,0.0,0.0,6.0,0.0,0.9551732410784863,1.0,0.0033294941553212005,0.06592555572584828,101.99547239998356,2.039909447999671
5,0,0.95,50,250,28.64,110.46,3.68,0.736,0.0,0.0,6.0,0.0,0.9373006543180494,1.0,0.0028022120204666853,0.062361167289601026,78.95520770002622,1.5791041540005244
5,1,1.0,50,250,36.0,216.0,4.8,0.96,0.0,0.0,6.0,0.0,0.9551732410784863,1.0,0.0033294941553212005,0.06592555572584828,106.13886380009353,2.122777276001871
5,1,0.95,50,250,34.64,194.84,3.68,0.736,0.0,0.0,6.0,0.0,0.9373006543180494,1.0,0.0028022120204666853,0.062361167289601026,81.686811300111,1.6337362260022201
